item#, quan, value, mfg, P/N, package, place, refs, SMD marking, fine pitch, polarized, generic substitution, specs, critical spec, notes
#17, 2, 56p/100, Murata, GRM1555C2A560JA01D, SM0402, SMT, C401 C404, , , , YES, 5% C0G 100V, >= 100V, ceramic capacitor
#18, 4, 100p, Murata, GRM1555C1H101JA01D, SM0402, SMT, C194 C408 C411 C416, , , , YES, 5% C0G 50V, , ceramic capacitor
#19, 2, 160p/50, Murata, GRM1555C1H161JA01D, SM0402, SMT, C402 C403, , , , YES, 5% C0G 50V, >= 50V, ceramic capacitor
#20, 5, 1n, Murata, GCM155R71H102KA37D, SM0402, SMT, C407 C409 C428 C430 C432, , , , YES, 10% X7R 50V, , ceramic capacitor
#21, 6, 10n, Murata, GRM155R71C103KA01D, SM0402, SMT, C105 C106 C193 C413 C417 C425, , , , YES, 10% X7R 16V, , ceramic capacitor
#22, 14, 100n, Murata, GRM155R71C104KA88D, SM0402, SMT, C190 C191 C192 C195 C301 C421 C422 C423 C424 C429 C431 C433 C702 C704, , , , YES, 10% X7R 16V, , ceramic capacitor
#23, 26, 470n, Murata, GRM155R6YA474KE01D, SM0402, SMT, C1 C2 C3 C6 C7 C8 C11 C12 C13 C15 C16 C23 C24 C25 C26 C30 C31 C32 C33 C36 C37 C38 C39 C42 C410 C414, , , , YES, 10% X5R 35V, , ceramic capacitor
#24, 7, 1u, Murata, GRM155R61E105KA12D, SM0402, SMT, C196 C197 C418 C419 C426 C427 C705, , , , YES, 10% X5R 25V, , ceramic capacitor
#25, 3, 2.2u, Murata, GRM155R60J225ME15D, SM0402, SMT, C412 C415 C420, , , , YES, 20% X5R 6.3V, , ceramic capacitor
#26, 11, 4.7u, Murata, GRM155R60J475ME47D, SM0402, SMT, C9 C14 C17 C18 C27 C28 C34 C35 C40 C41 C706, , , , YES, 20% X5R 6.3V, , ceramic capacitor
#27, 1, 1n/100, Murata, GRM219R72A102KA01J, SM0805, SMT, C405, , , , YES, 10% X7R 100V, >= 100V, ceramic capacitor
#28, 1, 22u, Murata, GRM21BR60J226ME39L, SM0805, SMT, C701, , , , YES, 20% X5R 6.3V, , ceramic capacitor
#29, 1, 470n/100, AVX, ESD61C474K4T2A-28, SM1206, SMT, C406, , , , YES, 10% X7R 100V, >= 100V, ceramic capacitor
#30, 4, 100u, Murata, GRM31CR60J107ME39L, SM1206, SMT, C5 C20 C29 C703, , , , YES, 20% X5R 6.3V, , ceramic capacitor
#31, 1, 39nH, TDK, MLK1005S39NJ, SM0402, SMT, L101, , , , -- NO --, 5% 200mA 2GHzSelfRes 6Q@100M, >= 2GHz self-resonance (above GPS L1), chip inductor
#32, 3, 150nH, TDK, MLG1005SR15J, SM0402, SMT, L403 L405 L406, , , , YES, 5% 150mA 8Q@100M, , chip inductor
#33, 1, 270nH, TDK, MLG1005SR27J, SM0402, SMT, L402, , , , YES, 3% 100mA 8Q@100M, , chip inductor
#34, 2, 330nH, TDK, MLG1005SR33J, SM0402, SMT, L401 L404, , , , YES, 3% 50mA 6Q@100M, , chip inductor
#35, 1, 1uH 3.7A, Bourns, SRN4018-1R0Y, INDUCTOR_4x4, SMT, L701, , , , YES, ferrite 30% 3.7A, , inductor; use: SMPS
#36, 2, TVS 3.3V, Bourns, CDSOD323-T03C, SOD323, SMT, Z401 Z402, 3C, , , YES, 3.3Vw 4.0Vbr 7.0Vclamp 3pF, , bi-directional TVS
#37, 1, SR 5A 40V, Vishay, SSB44-E3/52T, DO214_AA, SMT, D701, S44, , YES, -- NO --, 40V 0.42Vf 4.0AIf , <= 0.42 Vf, Schottky rectifier; use: SMPS
#38, 2, LP5907 3.3V 250mA, TI, LP5907QMFX-3.3Q1, SOT23_5, SMT, U104 U404, , , , -- NO --, 3.3V 250mA 0.12Vdo, , low-noise LDO voltage reg
#39, 1, LP5907 1.8V 250mA, TI, LP5907QMFX-1.8Q1, SOT23_5, SMT, U702, , , , -- NO --, 1.8V 250mA 0.12Vdo, , low-noise LDO voltage reg
#40, 1, LMR10530Y 1.0V 3A, TI, LMR10530YSD/NOPB, WSON10, SMT, U701, , FINE, , -- NO --, 5.5Vin 3A 3MHz, , step-down voltage reg
#41, 1, Artix-7 A35, Xilinx, XC7A35T-1FTG256C, FTG256, SMT, U1, , , , -- NO --, 17x17 1.0mm BGA, , FPGA
#42, 1, SE4150L, Skyworks, SE4150L-R, QFN24, SMT, U101, , FINE, , -- NO --, , , GPS front-end
#43, 1, EEPROM 32Kx8, On Semi, CAT24C256YI-GT3, TSSOP8, SMT, U301, , , , YES, 256kb=32kx8b 100k/400k/1MHz I2C, , EEPROM
#44, 2, NC7SZ125, Fairchild, NC7SZ125P5X, SC70_5, SMT, U403 U406, Z25, , , -- NO --, 3.3V 2.6nsTpd, , clock buffer
#45, 1, LTC2248, Linear Tech, LTC2248CUH#PBF, QFN32, SMT, U401, , FINE, , -- NO --, 14-bit 65MHz 240mW, , ADC
#46, 1, LTC6401-20, Linear Tech, LTC6401CUD-20#PBF, QFN16, SMT, U405, , FINE, , -- NO --, +20dB 6.2dBNF 1.3GHz, , differential ADC driver
#47, 5, FB 600Z, TDK, MMZ1005B601C, SM0402, SMT, L102 L103 L104 L407 L408, , , , YES, 25% 200mA 600Z@100M, , ferrite chip
#48, 1, 66.6666 MHz, Conner Winfield, CWX823-066.6666M, XO, SMT, U402, , , , YES, 3.3V 50ppm 1psTjms, <= 1ps RMS phase jitter, XO: prototype with 66.6666 MHz since distributors stock this freq; for production special order 65.000 MHz from manufacturer
#49, 1, 16.368 MHz, TXC, 7Q-16.368MBG-T, TCXO, SMT, X101, , , , YES, 3.3V clipped sinewave tempco 0.5ppm, tempco 0.5 ppm, TCXO
#50, 1, SAW L1, RFM, SF1186G, SAW, SMT, FL101, 2A, , , YES, 1572.42MHz 2MHzBW, , GPS SAW filter
#51, 1, TB_2, TE Conn, 282834-2, TB_2P_2_54MM, T/H, J1, , , , YES, 2pos 2.54mm; fits 1.6mm/63mil thick PCB, , terminal block side wire entry
#52, 1, SMA, Molex, 73251-1150, SMA_EM, EDGE, J3, , , , YES, 50 Ohm; edge mount, fits 1.6mm/63mil PCB thickness, SMA connector
#53, 2, BEAGLEBONE_BLACK, TE Conn, 6-146253-3, BEAGLEBONE_BLACK, T/H, ZB1, , , , YES, 13 rows; 2 pins/row; 2.54mm/0.1in; 8.08mm tail length, non-std tail length 8.08mm, 13x2 0.1 inch header connector
#54, 2, RF_SHIELD 29x19, Laird, BMI-S-209-F, *, SMT, ZR401 ZR101, , , , YES, 29x19mm; 7mm high, , RF shield frame
#55, 2, RF_SHIELD_COVER 29x19, Laird, BMI-S-209-C, RF_SHIELD_COVER, MANUAL, ZR102 ZR402, , , , YES, 29x19mm, , RF shield cover; manual install
