kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
16.4;0000-2400;;NOR;JXN Marine Norway;;NEu;no;1;;
18.1;0000-2400;;RUS;RDL Russian Navy;-CW;RUS;m;1;;[1219]
18.2;0000-2400;;IND;VTX Indian Navy;;SAs;v;1;;
18.3;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
19.6;0000-2400;;G;GQD Anthorn;;WEu;an;1;;
19.8;0000-2400;;AUS;NWC US/Australian Navy;;Oc;ex;1;;
20.5;0741-0747;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
20.5;0441-0447;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
20.5;1041-1047;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
20.5;1131-1141;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
20.5;0941-0947;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
20.5;0841-0847;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
20.9;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
21.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
21.7;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
23;0735-0741;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
23;0435-0441;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
23;1035-1041;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
23;1126-1131;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
23;0935-0941;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
23;0835-0841;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
23.4;0000-2400;;D;DHO38 German Navy;;Eu;rf;1;;
23.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
24;0000-2400;;USA;NAA US Navy Cutler;;NAO;cu;1;;
24.8;0000-2400;;USA;NLK US Navy Jim Creek;;NAO;jc;1;;
25;0700-0725;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
25;0400-0425;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25;1000-1025;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25;1100-1120;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
25;0900-0925;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
25;0800-0825;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
25.1;0725-0730;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
25.1;0425-0430;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25.1;1025-1030;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25.1;1120-1123;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
25.1;0925-0930;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
25.1;0825-0830;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
25.2;0000-2400;;USA;NML US Navy;;NAm;lm;1;;
25.5;0730-0735;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
25.5;0430-0435;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25.5;1030-1035;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25.5;1123-1126;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
25.5;0930-0935;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
25.5;0830-0835;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
27.3;0000-2400;;RUS;RDL Russian Navy;-CW;EEu;/BLR-mo;1;;[1019]
37.5;0000-2400;;ISL;TFK Grindavik;;NEu;g;1;;[1218]
40;0000-2400;;J;JJY (ID x15,x45);-TS;FE;o;1;;[0120]
42.5;0000-2400;;S;Swedish Navy MSK 200/79;;NEu;vb;1;;[0517]
45.9;0000-2400;;I;NSY Sicily;;SEu;sy;1;;
60;0000-2400;;G;MSF Time from NPL;-TS;Eu;an;1;;[0519]
60;0000-2400;;J;JJY (ID x15,x45);-TS;FE;h;1;;[0221]
60;0000-2400;;USA;WWVB Colorado;-TS;USA;ff;1;;[0519]
66.66;0000-2400;;RUS;RBU Time Signal;-TS;EEu;t;1;;[1119]
68.5;0000-2100;;CHN;BPC Time Signal;-TS;FE;sq;1;;[0519]
77.5;0000-2400;;D;DCF77 Mainflingen;-TS;Eu;mf;1;;[1218]
100;0000-2400;;CHN;BPL Time Signal;-TS;FE;p;1;;[0519]
129.1;0000-2400;;D;EFR Teleswitch;;CEu;mf;1;;[0221]
135.6;0000-2400;;HNG;EFR Teleswitch;;CEu;lh;1;;[0221]
139;0000-2400;;D;EFR Teleswitch;;CEu;bu;1;;[0221]
145;0000-2400;irr;E;Spanish Navy FSK;;Eu;gm;1;;
147.3;0000-2400;;D;DWD 2 Pinneberg RTTY;E;Eu;pi;1;;
162;1100-0700;;F;ALS162 Time Signals;-TS;F;a;2;;[0420]
162;0700-1100;We-Mo;F;ALS162 Time Signals;-TS;F;a;2;;
171;0000-2400;;MRC;Medi 1;A,F;NAf;n;1;;[0120]
198;0100-0200;;G;BBC;E;Eu;d;2;;
198;0200-0300;;G;BBC;E;Eu;d;2;;
198;0300-0400;;G;BBC;E;Eu;d;2;;
198;0400-0500;;G;BBC;E;Eu;d;2;;
198;0500-0520;;G;BBC;E;Eu;d;2;;
225;0440-0450;Mo-Sa;POL;Polskie Radio;BY;EEu;;1;;
225;0705-0707;Mo-Fr;POL;Polskie Radio;E;EEu;;1;0107;3108
225;0707-0709;Mo-Fr;POL;Polskie Radio;D;EEu;;1;0107;3108
225;0709-0711;Mo-Fr;POL;Polskie Radio;UK;EEu;;1;0107;3108
225;0805-0807;Mo-Fr;POL;Polskie Radio;E;EEu;;1;0107;3108
225;0807-0809;Mo-Fr;POL;Polskie Radio;D;EEu;;1;0107;3108
225;0809-0811;Mo-Fr;POL;Polskie Radio;UK;EEu;;1;0107;3108
225;0905-0907;Mo-Fr;POL;Polskie Radio;E;EEu;;1;0107;3108
225;0907-0909;Mo-Fr;POL;Polskie Radio;D;EEu;;1;0107;3108
225;0909-0911;Mo-Fr;POL;Polskie Radio;UK;EEu;;1;0107;3108
225;1010-1020;Su;POL;Polskie Radio;BY;EEu;;1;;
225;1020-1030;Mo-Sa;POL;Polskie Radio;BY;EEu;;1;;
225;1905-1915;Su;POL;Polskie Radio;BY;EEu;;1;;
225;2020-2030;;POL;Polskie Radio;BY;EEu;;1;;
243;0442-0505;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;0657-0805;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;1042-1115;;DNK;Danmarks Radio;DA;NEu;k;2;;[0219]
243;1642-1720;;DNK;Danmarks Radio;DA;NEu;k;2;;[0219]
426;1800-2400;Sa;USA;KPH Point Reyes, CA;-CW;WNA;pr;2;;
445;0000-2400;;CHN;XSQ Guangzhou Radio x30;M;FE;gx;1;;
462;0000-2400;;CHN;XSZ Dalian Radio (x05);M;FE;da;1;;
486;0000-2000;25Dec;USA;WA1ZMS Fessenden Px;E;ENA;fv;1;0112;3112
486;0000-2000;1Jan;USA;WA1ZMS Fessenden Px;E;ENA;fv;1;0112;3112
486;2000-2400;24Dec;USA;WA1ZMS Fessenden Px;E;ENA;fv;1;0112;3112
486;2000-2400;31Dec;USA;WA1ZMS Fessenden Px;E;ENA;fv;1;0112;3112
549;0300-0700;;ARS;SBA Al-Azm Radio;A;YEM;jz;1;;
549;0900-2200;;ARS;SBA Al-Azm Radio;A;YEM;jz;1;;
549;0000-0900;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;0900-1000;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;1000-1705;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;2055-2300;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;2300-2400;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;0100-0300;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;0300-0600;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;0600-1200;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;1200-1500;;VTN;Voice of Vietnam 2;VN;VTN;;1;;[0420]
549;1500-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;2145-0100;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
576;0330-0520;;IRN;IRIB Voice of I.R.Iran;A;ME;mh;1;;
576;0900-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;mh;1;;
576;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;y;1;;
576;0330-0700;;MYA;Myanma Radio;BR;SEA;y;1;;
576;0700-0730;;MYA;Myanma Radio;E;SEA;y;1;;
576;0930-1530;;MYA;Myanma Radio;BR;SEA;y;1;;[1020]
576;1445-1505;We,Sa;MYA;Myanma Radio (NHK);BR;SEA;y;1;;
576;1530-1630;;MYA;Myanma Radio;E;SEA;y;1;;[0221]
576;2300-0230;;MYA;Myanma Radio;BR;SEA;y;1;;
585;0327-0600;;TZA;ZBC Radio;SWA;EAf;z;1;;
585;1459-2100;;TZA;ZBC Radio;SWA;EAf;z;1;;
585;1800-1810;irr;TZA;ZBC Radio;E;EAf;z;1;;
594;0230-0245;;IND;AIR Delhi;HI;BGD;ko;1;;
594;0030-0900;;IND;All India Radio Ext.Sce;BE;BGD;ko;1;;
594;1000-1830;;IND;All India Radio Ext.Sce;BE;BGD;ko;1;;
594;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;n;1;;
594;0930-1530;;MYA;Myanma Radio;BR;SEA;n;1;;
594;1445-1505;We,Sa;MYA;Myanma Radio (NHK);BR;SEA;n;1;;
594;1530-1630;;MYA;Myanma Radio;E;SEA;n;1;;[0221]
594;2300-0230;;MYA;Myanma Radio;BR;SEA;n;1;;
600;0000-0200;;USA;Voice of America;S;VEN;/CLM-b;1;;[0920]
600;0200-0300;Tu-Sa;USA;Voice of America;S;VEN;/CLM-b;1;;
603;0000-0100;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1100-1200;;CHN;CRI Music;CA;SEA;d;1;;
603;1200-1300;;CHN;China Radio Int.;VN;SEA;d;1;;[0420]
603;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1400-1500;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1600-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
603;2300-2400;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0820-0830;Su;ROU;Radio Bukarest;D;ROU;;2;;
603;1200-1300;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
610;2300-2330;Mo,Sa;EQA;HCJB Voice of Andes;D;SAm;/PRG-f;1;;
612;0420-0520;;IRN;IRIB Voice of I.R.Iran;KU;ME;q;1;;
612;0900-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;q;1;;
612;1447-1457;;USA;Trans World Radio;-MX;CAs;/KGZ;1;;
612;1457-1545;;USA;Trans World Radio;KZ;CAs;/KGZ;1;;
612;1545-1600;;USA;Trans World Radio;R;CAs;/KGZ;1;;
612;1600-1630;Mo-Sa;USA;Trans World Radio;R;CAs;/KGZ;1;;
612;1600-1700;Su;USA;Trans World Radio;UZ;CAs;/KGZ;1;;
612;1630-1700;Mo-Sa;USA;Trans World Radio;UZ;CAs;/KGZ;1;;
612;1700-1715;Fr-Su;USA;Trans World Radio;KZ;CAs;/KGZ;1;;
612;1700-1730;Mo-Th;USA;Trans World Radio;UI;CAs;/KGZ;1;;
612;1715-1730;Fr-Su;USA;Trans World Radio;KG;CAs;/KGZ;1;;
621;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1900-1950;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;0700-0900;;KRE;Voice of Korea;J;J;c;1;;
621;0900-1300;;KRE;Voice of Korea;J;J;c;1;;
621;2000-2100;;KRE;Voice of Korea KCBS;K;FE;c;1;;
621;2100-2400;;KRE;Voice of Korea;J;J;c;1;;
621;0300-0330;;MDA;Radio Odin Plus (PMR);UK;EEu;;2;;
621;0330-0400;;MDA;Radio Odin Plus (PMR);RO;EEu;;2;;
621;0400-0615;;MDA;Radio Odin Plus (PMR);R;EEu;;2;;[0318]
621;0400-0700;;USA;Radio Mashaal;PS;PAK;/AFG-x;1;;
621;0700-1000;;USA;Radio Mashaal;PS;PAK;/AFG-x;1;;
621;1000-1200;;USA;Radio Mashaal;PS;PAK;/AFG-x;1;;
621;1200-1300;;USA;Radio Mashaal;PS;PAK;/AFG-x;1;;
621;0100-0300;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;0300-0400;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1300-1700;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1700-1900;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
630;1100-1200;;ROU;Radio Temeswar;D;ROU;;2;;[0719]
630;1600-1700;Su;ROU;Radio Timisoara;UK;ROU;;2;;[0216]
639;0200-0300;;G;BBC;A;ME;/CYP;5;;
639;0300-0400;;G;BBC;A;ME;/CYP;1;;
639;0400-0500;;G;BBC;A;ME;/CYP;1;;
639;0500-0600;;G;BBC;A;ME;/CYP;1;;
639;0600-0700;;G;BBC;A;ME;/CYP;4;;
639;1800-1900;;G;BBC;A;ME;/CYP;1;;
639;1900-2000;;G;BBC;A;ME;/CYP;1;;
639;2000-2100;;G;BBC;A;ME;/CYP;1;;
639;0420-0520;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1320-1620;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1820-1920;;IRN;IRIB Voice of I.R.Iran;TU;ME;bb;1;;
639;0130-0200;;MYA;Thazin Radio;E;SEA;p;1;;
639;0430-0630;;MYA;Thazin Radio;BR;SEA;p;1;;
639;0630-0700;;MYA;Thazin Radio;E;SEA;p;1;;
639;0930-1430;;MYA;Thazin Radio;BR;SEA;p;1;;
639;1430-1500;;MYA;Thazin Radio;E;SEA;p;1;;
639;2330-0130;;MYA;Thazin Radio;BR;SEA;p;1;;
657;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1900-1950;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
675;2145-1700;;VTN;Voice of Vietnam 1;VN;VTN;;1;;[0420]
684;0100-0500;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0500-0600;;CHN;China National Radio 6;HK;TWN;pt;1;;
684;0600-0900;Th-Tu;CHN;China National Radio 6;HK;TWN;pt;1;;
684;0900-1100;;CHN;China National Radio 6;HK;TWN;pt;1;;
684;1100-1605;;CHN;China National Radio 6;M;TWN;pt;1;;
684;2155-0100;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0000-0100;;CHN;CRI Music;KH;SEA;d;1;;
684;1030-1130;;CHN;CRI Music;KH;SEA;d;1;;
684;1200-1300;;CHN;China Radio Int.;E;SEA;d;1;;
684;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1400-1500;;CHN;CRI Music;KH;SEA;d;1;;
684;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1600-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
684;2300-2400;;CHN;CRI Music;KH;SEA;d;1;;
690;0000-2400;;B;Rádio Clube do Pará;P;B;be;1;;
693;1930-2000;;ALG;Radio Algiers Int.;S;NAf;r;1;;
693;2000-2030;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;2030-2100;;ALG;Radio Algiers Int.;F;NAf;r;1;;
693;2100-2130;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;2130-2200;;ALG;Radio Algiers Int.;E;NAf;r;1;;
693;2200-2230;;ALG;Radio Algiers Int.;S;NAf;r;1;;
693;2230-2300;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;0030-0610;;BGD;Bangladesh Betar;BE;SAs;d;1;;
693;0830-1155;;BGD;Bangladesh Betar;BE;SAs;d;1;;
693;1155-1705;;BGD;Bangladesh Betar;BE;SAs;d;1;;[0119]
693;1235-1245;Mo;BGD;Bangladesh Betar;E;SAs;d;1;;
693;1250-1255;;BGD;Bangladesh Betar;E;SAs;d;1;;
693;1530-1545;;BGD;Bangladesh Betar;E;SAs;d;1;;
693;1600-1605;;BGD;Bangladesh Betar;E;SAs;d;1;;
702;1500-1700;;G;BBC;A;ME;/OMA-a;1;;
702;1700-1800;;G;BBC;A;ME;/OMA-a;1;;
702;1800-1900;;G;BBC;A;ME;/OMA-a;1;;
702;1900-2000;;G;BBC;A;ME;/OMA-a;1;;
702;2000-2100;;G;BBC;A;ME;/OMA-a;1;;
702;0320-0930;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1420-1650;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1720-1820;;IRN;IRIB Voice of I.R.Iran;TAL;Cau;ki;1;;
702;1820-1920;;IRN;IRIB Voice of I.R.Iran;TU;ME;ki;1;;
702;1920-2020;;IRN;IRIB Voice of I.R.Iran;R;Cau;ki;1;;[1116]
702;0000-0030;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0000-0200;Mo-Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0030-0230;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;0200-0330;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0200-0430;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0230-0430;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0330-0430;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0430-0530;;PHL;FEBC Manila;AM;PHL;b;1;;
702;0530-0600;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0530-0600;Su-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0600-0700;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0600-0700;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0700-0705;SaSu;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0700-0720;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0705-0830;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;0705-0930;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0720-0900;Mo-Fr;PHL;FEBC Manila;E;PHL;b;1;;
702;0830-1200;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0900-1030;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0930-1030;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1030-1100;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1100-1130;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1100-1130;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1130-1200;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1200-1300;Mo-Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1200-1330;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;1300-1400;Mo;PHL;FEBC Manila;E;PHL;b;1;;
702;1300-1530;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1300-1600;Tu-Fr;PHL;FEBC Manila;E;PHL;b;1;;
702;1330-1530;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1400-1600;Mo;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1530-1600;SaSu;PHL;FEBC Manila;E;PHL;b;1;;
702;2045-2100;Su-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;2100-2400;;PHL;FEBC Manila;TAG;PHL;b;1;;
720;0200-0300;;G;BBC;A;ME;/CYP;5;;
720;0300-0400;;G;BBC;A;ME;/CYP;1;;
720;0400-0500;;G;BBC;A;ME;/CYP;1;;
720;0500-0600;;G;BBC;A;ME;/CYP;1;;
720;0600-0700;;G;BBC;A;ME;/CYP;4;;
720;1700-1800;;G;BBC;A;ME;/CYP;1;;
720;1800-1900;;G;BBC;A;ME;/CYP;1;;
720;1900-2000;;G;BBC;A;ME;/CYP;1;;
720;2000-2100;;G;BBC;A;ME;/CYP;1;;
720;0050-0220;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
720;0300-1500;;IRN;IRIB Voice of I.R.Iran;DR;AFG;t;1;;
720;1550-1720;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
729;0100-0300;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;0300-0600;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;0600-1200;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;1200-1500;;VTN;Voice of Vietnam 2;VN;VTN;;1;;[0420]
729;1500-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;2145-0100;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
747;0300-0700;;ARS;SBA Al-Azm Radio;A;YEM;nj;1;;
747;0900-2200;;ARS;SBA Al-Azm Radio;A;YEM;nj;1;;
765;0000-0900;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;0900-1000;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;1000-1705;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;2055-2300;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;2300-2400;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;0130-0230;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;0230-1250;;IRN;IRIB Voice of I.R.Iran;A;ME;c;1;;
765;1250-1320;;IRN;IRIB Voice of I.R.Iran;PS;SAs;c;1;;
765;1320-1420;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1520-1620;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1620-0120;;IRN;IRIB Voice of I.R.Iran;A;ME;c;1;;
765;1930-2030;;IRN;IRIB Voice of Palestine;A;ME;c;1;;
783;1930-2000;;ALG;Radio Algiers Int.;S;NAf;;1;;
783;2000-2030;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;2030-2100;;ALG;Radio Algiers Int.;F;NAf;;1;;
783;2100-2130;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;2130-2200;;ALG;Radio Algiers Int.;E;NAf;;1;;
783;2200-2230;;ALG;Radio Algiers Int.;S;NAf;;1;;
783;2230-2300;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;0530-0600;;SYR;Radio Damascus;R;ME;;2;;[0620]
783;0600-0630;;SYR;Radio Damascus;F;ME;;2;;[0520]
800;0000-0300;;USA;Trans World Radio;S;CUB;/BES;1;;[1218]
800;0300-0800;;USA;Trans World Radio;S;Car;/BES;1;;[0319]
800;0800-0945;;USA;Trans World Radio;P;SAm;/BES;1;;
800;0945-1000;Su;USA;Trans World Radio;BNI;SAm;/BES;1;;
800;0945-1000;Sa;USA;Trans World Radio;MX;SAm;/BES;1;;
800;0945-1000;Mo-Fr;USA;Trans World Radio;P;SAm;/BES;1;;
800;1000-1230;;USA;Trans World Radio;S;Car;/BES;1;;
800;2130-2300;;USA;Trans World Radio;S;Car;/BES;1;;
800;2300-2400;;USA;Trans World Radio;E;Car;/BES;1;;
800;2100-2230;Mo-Fr;USA;Voice of America;S;VEN;/BES;1;;
801;0258-0600;;ETH;Amhara State Radio;AH;EAf;b;1;;
801;0900-1100;;ETH;Amhara State Radio;AH;EAf;b;1;;
801;1400-2100;;ETH;Amhara State Radio;AH;EAf;b;1;;
801;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
810;1830-1900;Mo-Fr;MKD;Radio Makedonija MR Sat;-MX;SEE;;2;;
810;1830-2100;Sa;MKD;Radio Makedonija MR Sat;MC;SEE;;2;;
810;1900-1930;Mo-Fr;MKD;Radio Makedonija MR Sat;BU;SEE;;2;;
810;1930-2000;Mo-Fr;MKD;Radio Makedonija MR Sat;GR;SEE;;2;;
810;2000-2030;Mo-Fr;MKD;Radio Makedonija MR Sat;AL;SEE;;2;;
810;2030-2100;Mo-Fr;MKD;Radio Makedonija MR Sat;SR;SEE;;2;;
810;2100-0400;Mo-Sa;MKD;Radio Makedonija MR Sat;MC;SEE;;2;;
819;2200-1600;;VTN;Voice of Vietnam 4;Vn;VTN;b;1;;
837;0000-0900;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;0900-1000;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;1000-1705;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;2055-2300;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;2300-2400;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;0253-0600;;ETH;Radio Oromiya;OO;EAf;r;1;;
837;0600-0900;SaSu;ETH;Radio Oromiya;OO;EAf;r;1;;
837;0900-1100;;ETH;Radio Oromiya;OO;EAf;r;1;;
837;1100-1530;SaSu;ETH;Radio Oromiya;OO;EAf;r;1;;
837;1530-2000;;ETH;Radio Oromiya;OO;EAf;r;1;;[0218]
840;0247-1000;;ERI;Voice of Broad Masses 2;Vn;EAf;;1;;
840;1430-2000;;ERI;Voice of Broad Masses 2;Vn;EAf;;1;;[0121]
855;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;1900-1950;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
864;1655-1710;;USA;Trans World Radio;KZ;CAs;/ARM;1;;
864;1710-1725;;USA;Trans World Radio;TK;CAs;/ARM;1;;
864;1725-1755;SaSu;USA;Trans World Radio;KPK;CAs;/ARM;1;;
864;1725-1755;Mo-Fr;USA;Trans World Radio;R;CAs;/ARM;1;;
873;0910-1600;;CHN;China Huayi BC;M;FE;f;1;;[0318]
873;0700-0900;;HNG;Nemzetiségi Rádió;HR;HNG;lh;2;;
873;0700-0900;;HNG;Nemzetiségi Rádió;HR;HNG;p;2;;
873;0900-1100;;HNG;Nemzetiségi Rádió;D;HNG;lh;2;;[1218]
